code,name,origin,packing,unit,category,subcategory,brand,tags
79,KDD Chocolate Cream 1L,Kuwait,1LTR*12PCS,BOX,Dairy & Chilled,Cream,KDD,
80,KDD Vanilla Cream 1L,Kuwait,1LTR*12PCS,BOX,Dairy & Chilled,Cream,KDD,
81,KDD Ice Cream Corn 1000pcs,Kuwait,1000PCS*1BOX,BOX,Snacks & Confectionery,Ice Cream & Cones,KDD,horeca
82,KDD Ice Cream Corn 25pcs Red,Kuwait,25PCS*1BOX,BOX,Snacks & Confectionery,Ice Cream & Cones,KDD,
83,KDD Ice Cream Corn 25pcs Blue,Kuwait,25PCS*1BOX,BOX,Snacks & Confectionery,Ice Cream & Cones,KDD,
84,Frank's RedHot Buffalo Wings Sauce 3.8L,USA,3.8L*4PCS,CTN,Spreads & Condiments,Sauces,Frank's RedHot,horeca
85,Frank's RedHot Original Cayenne Pepper Sauce 3.8L,USA,3.8L*4PCS,CTN,Spreads & Condiments,Sauces,Frank's RedHot,horeca
86,Tabasco Pepper Sauce 60ml,USA,60ML*72PCS,CTN,Spreads & Condiments,Sauces,Tabasco,horeca
87,Tabasco Jalapeno Green Pepper Sauce 60ml,USA,60ML*72PCS,CTN,Spreads & Condiments,Sauces,Tabasco,horeca
88,Ola Light Meat Tuna,Thailand,1.885x6,CTN,Spreads & Condiments,Canned Goods,Ola,
89,La Preferida Cheddar Cheese,USA,3KGx6,CTN,Dairy & Chilled,Cheese,La Preferida,horeca
90,Perfecta Cheddar Cheese,England,3KGx6,CTN,Dairy & Chilled,Cheese,Perfecta,horeca
91,Chilli Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
92,Coriander Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
93,Turmeric Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
94,Cassia Indian Cinnamon Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
95,Garlic Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
96,Ginger Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
97,Kashmiri Chilli Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local;horeca
98,White Pepper Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
99,Chaat Masala Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
100,Chicken Masala Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
101,Garam Masala Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
102,Madras Curry Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
103,Sambar Powder 1kg,Qatar,1KGx12,PKT,Spices & Nuts,Spices,ARCO Spices,local
104,Cashew Nuts 1kg,India,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
